ENTRY,NAME
222,CLS21-0169;003
340,CLS21-0179;003
327,CLS21-0178;029
109,CLS21-0114;019
512,CLS21-0685;033
425,CLS21-0512;010
265,CLS21-0172;004
421,CLS21-0512;006
365,CLS21-0179;028
469,CLS21-0622;024
205,CLS21-0142;028
493,CLS21-0685;014
690,CLS21-0911;031
486,CLS21-0685;007
228,CLS21-0169;009
477,CLS21-0622;032
656,CLS21-0906;047
143,CLS21-0118;009
573,CLS21-0805;002
25,CLS21-0050;015
287,CLS21-0172;026
485,CLS21-0685;006
38,CLS21-0050;028
506,CLS21-0685;027
616,CLS21-0906;007
268,CLS21-0172;007
276,CLS21-0172;015
405,CLS21-0199;028
534,CLS21-0755;020
363,CLS21-0179;026
53,CLS21-0050;043
211,CLS21-0142;034
329,CLS21-0178;031
625,CLS21-0906;016
64,CLS21-0111;009
100,CLS21-0114;010
218,CLS21-0142;041
344,CLS21-0179;007
376,CLS21-0179;039
597,CLS21-0805;026
476,CLS21-0622;031
35,CLS21-0050;025
463,CLS21-0622;018
592,CLS21-0805;021
128,CLS21-0114;038
232,CLS21-0169;013
343,CLS21-0179;006
94,CLS21-0114;004
74,CLS21-0111;019
680,CLS21-0911;021
125,CLS21-0114;035
638,CLS21-0906;029
168,CLS21-0118;034
286,CLS21-0172;025
78,CLS21-0111;023
361,CLS21-0179;024
246,CLS21-0169;027
155,CLS21-0118;021
535,CLS21-0755;021
565,CLS21-0758;021
604,CLS21-0805;033
606,CLS21-0805;035
58,CLS21-0111;003
113,CLS21-0114;023
103,CLS21-0114;013
440,CLS21-0512;025
637,CLS21-0906;028
198,CLS21-0142;021
193,CLS21-0142;016
445,CLS21-0512;030
181,CLS21-0142;004
99,CLS21-0114;009
167,CLS21-0118;033
400,CLS21-0199;023
305,CLS21-0178;007
124,CLS21-0114;034
499,CLS21-0685;020
474,CLS21-0622;029
509,CLS21-0685;030
664,CLS21-0911;005
383,CLS21-0199;006
69,CLS21-0111;014
174,CLS21-0118;040
345,CLS21-0179;008
433,CLS21-0512;018
684,CLS21-0911;025
673,CLS21-0911;014
372,CLS21-0179;035
399,CLS21-0199;022
602,CLS21-0805;031
587,CLS21-0805;016
688,CLS21-0911;029
142,CLS21-0118;008
536,CLS21-0755;022
583,CLS21-0805;012
562,CLS21-0758;018
634,CLS21-0906;025
403,CLS21-0199;026
663,CLS21-0911;004
503,CLS21-0685;024
584,CLS21-0805;013
280,CLS21-0172;019
325,CLS21-0178;027
412,CLS21-0199;035
179,CLS21-0142;002
439,CLS21-0512;024
435,CLS21-0512;020
605,CLS21-0805;034
462,CLS21-0622;017
202,CLS21-0142;025
627,CLS21-0906;018
333,CLS21-0178;035
595,CLS21-0805;024
510,CLS21-0685;031
29,CLS21-0050;019
478,CLS21-0622;033
236,CLS21-0169;017
207,CLS21-0142;030
213,CLS21-0142;036
685,CLS21-0911;026
514,CLS21-0685;035
451,CLS21-0622;006
237,CLS21-0169;018
297,CLS21-0172;036
117,CLS21-0114;027
539,CLS21-0755;025
180,CLS21-0142;003
621,CLS21-0906;012
138,CLS21-0118;004
291,CLS21-0172;030
129,CLS21-0114;039
223,CLS21-0169;004
46,CLS21-0050;036
11,CLS21-0050;001
681,CLS21-0911;022
483,CLS21-0685;004
133,CLS21-0114;043
191,CLS21-0142;014
337,CLS21-0178;039
679,CLS21-0911;020
186,CLS21-0142;009
86,CLS21-0111;031
75,CLS21-0111;020
13,CLS21-0050;003
636,CLS21-0906;027
456,CLS21-0622;011
550,CLS21-0758;006
511,CLS21-0685;032
140,CLS21-0118;006
491,CLS21-0685;012
33,CLS21-0050;023
61,CLS21-0111;006
44,CLS21-0050;034
401,CLS21-0199;024
277,CLS21-0172;016
306,CLS21-0178;008
224,CLS21-0169;005
533,CLS21-0755;019
610,CLS21-0906;001
388,CLS21-0199;011
59,CLS21-0111;004
369,CLS21-0179;032
643,CLS21-0906;034
54,CLS21-0050;044
428,CLS21-0512;013
31,CLS21-0050;021
545,CLS21-0758;001
34,CLS21-0050;024
487,CLS21-0685;008
559,CLS21-0758;015
519,CLS21-0755;005
496,CLS21-0685;017
541,CLS21-0755;027
314,CLS21-0178;016
281,CLS21-0172;020
63,CLS21-0111;008
159,CLS21-0118;025
106,CLS21-0114;016
164,CLS21-0118;030
118,CLS21-0114;028
530,CLS21-0755;016
452,CLS21-0622;007
676,CLS21-0911;017
633,CLS21-0906;024
416,CLS21-0512;001
130,CLS21-0114;040
617,CLS21-0906;008
447,CLS21-0622;002
119,CLS21-0114;029
528,CLS21-0755;014
311,CLS21-0178;013
43,CLS21-0050;033
114,CLS21-0114;024
654,CLS21-0906;045
146,CLS21-0118;012
88,CLS21-0111;033
215,CLS21-0142;038
558,CLS21-0758;014
525,CLS21-0755;011
93,CLS21-0114;003
413,CLS21-0199;036
618,CLS21-0906;009
304,CLS21-0178;006
195,CLS21-0142;018
338,CLS21-0179;001
192,CLS21-0142;015
504,CLS21-0685;025
153,CLS21-0118;019
196,CLS21-0142;019
364,CLS21-0179;027
686,CLS21-0911;027
131,CLS21-0114;041
603,CLS21-0805;032
574,CLS21-0805;003
