LOCATION,ENTRY,NAME,REPS
A,1,temoin_1,2
A,2,temoin_2,2
A,3,temoin_3,2
A,4,temoin_4,2
A,5,temoin_5,2
A,6,temoin_6,2
A,7,temoin_7,2
A,8,temoin_8,2
A,9,temoin_9,2
A,10,temoin_10,1
A,222,CLS21-0169;003,2
A,340,CLS21-0179;003,2
A,327,CLS21-0178;029,2
A,109,CLS21-0114;019,2
A,512,CLS21-0685;033,2
A,425,CLS21-0512;010,2
A,265,CLS21-0172;004,2
A,421,CLS21-0512;006,2
A,365,CLS21-0179;028,2
A,469,CLS21-0622;024,2
A,205,CLS21-0142;028,2
A,493,CLS21-0685;014,2
A,690,CLS21-0911;031,2
A,486,CLS21-0685;007,2
A,228,CLS21-0169;009,2
A,477,CLS21-0622;032,2
A,656,CLS21-0906;047,2
A,143,CLS21-0118;009,2
A,573,CLS21-0805;002,2
A,25,CLS21-0050;015,2
A,287,CLS21-0172;026,2
A,485,CLS21-0685;006,2
A,38,CLS21-0050;028,2
A,506,CLS21-0685;027,2
A,616,CLS21-0906;007,2
A,268,CLS21-0172;007,2
A,276,CLS21-0172;015,2
A,405,CLS21-0199;028,2
A,534,CLS21-0755;020,2
A,363,CLS21-0179;026,2
A,53,CLS21-0050;043,2
A,211,CLS21-0142;034,2
A,329,CLS21-0178;031,2
A,625,CLS21-0906;016,2
A,64,CLS21-0111;009,2
A,100,CLS21-0114;010,2
A,218,CLS21-0142;041,2
A,344,CLS21-0179;007,2
A,376,CLS21-0179;039,2
A,597,CLS21-0805;026,2
A,476,CLS21-0622;031,2
A,35,CLS21-0050;025,2
A,463,CLS21-0622;018,2
A,592,CLS21-0805;021,2
A,128,CLS21-0114;038,2
A,232,CLS21-0169;013,2
A,343,CLS21-0179;006,2
A,94,CLS21-0114;004,2
A,74,CLS21-0111;019,2
A,680,CLS21-0911;021,2
A,125,CLS21-0114;035,2
A,638,CLS21-0906;029,2
A,168,CLS21-0118;034,2
A,286,CLS21-0172;025,2
A,78,CLS21-0111;023,2
A,361,CLS21-0179;024,2
A,246,CLS21-0169;027,2
A,155,CLS21-0118;021,2
A,535,CLS21-0755;021,2
A,565,CLS21-0758;021,2
A,604,CLS21-0805;033,2
A,606,CLS21-0805;035,2
A,58,CLS21-0111;003,2
A,113,CLS21-0114;023,2
A,103,CLS21-0114;013,2
A,440,CLS21-0512;025,2
A,637,CLS21-0906;028,2
A,198,CLS21-0142;021,2
A,193,CLS21-0142;016,2
A,445,CLS21-0512;030,2
A,181,CLS21-0142;004,2
A,99,CLS21-0114;009,2
A,167,CLS21-0118;033,2
A,400,CLS21-0199;023,2
A,305,CLS21-0178;007,2
A,124,CLS21-0114;034,2
A,499,CLS21-0685;020,2
A,474,CLS21-0622;029,2
A,509,CLS21-0685;030,2
A,664,CLS21-0911;005,2
A,383,CLS21-0199;006,2
A,69,CLS21-0111;014,2
A,174,CLS21-0118;040,2
A,345,CLS21-0179;008,2
A,433,CLS21-0512;018,2
A,684,CLS21-0911;025,2
A,673,CLS21-0911;014,2
A,372,CLS21-0179;035,2
A,399,CLS21-0199;022,2
A,602,CLS21-0805;031,2
A,587,CLS21-0805;016,2
A,688,CLS21-0911;029,2
A,142,CLS21-0118;008,2
A,536,CLS21-0755;022,2
A,583,CLS21-0805;012,2
A,562,CLS21-0758;018,2
A,634,CLS21-0906;025,2
A,403,CLS21-0199;026,2
A,663,CLS21-0911;004,2
A,503,CLS21-0685;024,2
A,584,CLS21-0805;013,2
A,280,CLS21-0172;019,2
A,325,CLS21-0178;027,2
A,412,CLS21-0199;035,2
A,179,CLS21-0142;002,2
A,439,CLS21-0512;024,2
A,435,CLS21-0512;020,2
A,605,CLS21-0805;034,2
A,462,CLS21-0622;017,2
A,202,CLS21-0142;025,2
A,627,CLS21-0906;018,2
A,333,CLS21-0178;035,2
A,595,CLS21-0805;024,2
A,510,CLS21-0685;031,2
A,29,CLS21-0050;019,2
A,478,CLS21-0622;033,2
A,236,CLS21-0169;017,2
A,207,CLS21-0142;030,2
A,213,CLS21-0142;036,2
A,685,CLS21-0911;026,2
A,514,CLS21-0685;035,2
A,451,CLS21-0622;006,2
A,237,CLS21-0169;018,2
A,297,CLS21-0172;036,2
A,117,CLS21-0114;027,2
A,539,CLS21-0755;025,2
A,180,CLS21-0142;003,2
A,621,CLS21-0906;012,2
A,138,CLS21-0118;004,2
A,291,CLS21-0172;030,2
A,129,CLS21-0114;039,2
A,223,CLS21-0169;004,2
A,46,CLS21-0050;036,2
A,11,CLS21-0050;001,2
A,681,CLS21-0911;022,2
A,483,CLS21-0685;004,2
A,133,CLS21-0114;043,2
A,191,CLS21-0142;014,2
A,337,CLS21-0178;039,2
A,679,CLS21-0911;020,2
A,186,CLS21-0142;009,2
A,86,CLS21-0111;031,2
A,75,CLS21-0111;020,2
A,13,CLS21-0050;003,2
A,636,CLS21-0906;027,2
A,456,CLS21-0622;011,2
A,550,CLS21-0758;006,2
A,511,CLS21-0685;032,2
A,140,CLS21-0118;006,2
A,491,CLS21-0685;012,2
A,33,CLS21-0050;023,2
A,61,CLS21-0111;006,2
A,44,CLS21-0050;034,2
A,401,CLS21-0199;024,2
A,277,CLS21-0172;016,2
A,306,CLS21-0178;008,2
A,224,CLS21-0169;005,2
A,533,CLS21-0755;019,2
A,610,CLS21-0906;001,2
A,388,CLS21-0199;011,2
A,59,CLS21-0111;004,2
A,369,CLS21-0179;032,2
A,643,CLS21-0906;034,2
A,54,CLS21-0050;044,2
A,428,CLS21-0512;013,2
A,31,CLS21-0050;021,2
A,545,CLS21-0758;001,2
A,34,CLS21-0050;024,2
A,487,CLS21-0685;008,2
A,559,CLS21-0758;015,2
A,519,CLS21-0755;005,1
A,496,CLS21-0685;017,1
A,541,CLS21-0755;027,1
A,314,CLS21-0178;016,1
A,281,CLS21-0172;020,1
A,63,CLS21-0111;008,1
A,159,CLS21-0118;025,1
A,106,CLS21-0114;016,1
A,164,CLS21-0118;030,1
A,118,CLS21-0114;028,1
A,530,CLS21-0755;016,1
A,452,CLS21-0622;007,1
A,676,CLS21-0911;017,1
A,633,CLS21-0906;024,1
A,416,CLS21-0512;001,1
A,130,CLS21-0114;040,1
A,617,CLS21-0906;008,1
A,447,CLS21-0622;002,1
A,119,CLS21-0114;029,1
A,528,CLS21-0755;014,1
A,311,CLS21-0178;013,1
A,43,CLS21-0050;033,1
A,114,CLS21-0114;024,1
A,654,CLS21-0906;045,1
A,146,CLS21-0118;012,1
A,88,CLS21-0111;033,1
A,215,CLS21-0142;038,1
A,558,CLS21-0758;014,1
A,525,CLS21-0755;011,1
A,93,CLS21-0114;003,1
A,413,CLS21-0199;036,1
A,618,CLS21-0906;009,1
A,304,CLS21-0178;006,1
A,195,CLS21-0142;018,1
A,338,CLS21-0179;001,1
A,192,CLS21-0142;015,1
A,504,CLS21-0685;025,1
