ENTRY,NAME,REPS
22,ND-22,2
23,ND-23,2
24,ND-24,2
25,ND-25,2
26,ND-26,2
27,ND-27,2
28,ND-28,2
29,ND-29,2
30,ND-30,2
31,ND-31,2
32,ND-32,2
33,ND-33,2
34,ND-34,2
35,ND-35,2
36,ND-36,2
37,ND-37,2
38,ND-38,2
39,ND-39,2
40,ND-40,2
41,ND-41,2
42,ND-42,2
43,ND-43,2
44,ND-44,2
45,ND-45,2
46,ND-46,2
47,ND-47,2
48,ND-48,2
49,ND-49,2
50,ND-50,2
51,ND-51,2
52,ND-52,2
53,ND-53,2
54,ND-54,2
55,ND-55,2
56,ND-56,2
57,ND-57,2
58,ND-58,2
59,ND-59,2
60,ND-60,2
61,ND-61,2
62,ND-62,2
63,ND-63,2
64,ND-64,2
65,ND-65,2
66,ND-66,2
67,ND-67,2
68,ND-68,2
69,ND-69,2
70,ND-70,2
71,ND-71,2
72,ND-72,2
73,ND-73,2
74,ND-74,2
75,ND-75,2
76,ND-76,2
77,ND-77,2
78,ND-78,2
79,ND-79,2
80,ND-80,2
81,ND-81,2
82,ND-82,2
83,ND-83,2
84,ND-84,2
85,ND-85,2
86,ND-86,2
87,ND-87,2
88,ND-88,2
89,ND-89,2
90,ND-90,2
91,ND-91,2
92,ND-92,2
93,ND-93,2
94,ND-94,2
95,ND-95,2
96,ND-96,2
97,ND-97,2
98,ND-98,2
99,ND-99,2
100,ND-100,2
101,ND-101,2
102,ND-102,2
103,ND-103,2
104,ND-104,2
105,ND-105,2
106,ND-106,2
107,ND-107,2
108,ND-108,2
109,ND-109,2
110,ND-110,2
111,ND-111,2
112,ND-112,2
113,ND-113,2
114,ND-114,2
115,ND-115,2
116,ND-116,2
117,ND-117,2
118,ND-118,2
119,ND-119,2
120,ND-120,2
121,ND-121,2
122,ND-122,1
123,ND-123,1
124,ND-124,1
125,ND-125,1
126,ND-126,1
127,ND-127,1
128,ND-128,1
129,ND-129,1
130,ND-130,1
131,ND-131,1
132,ND-132,1
133,ND-133,1
134,ND-134,1
135,ND-135,1
136,ND-136,1
137,ND-137,1
138,ND-138,1
139,ND-139,1
140,ND-140,1
141,ND-141,1
142,ND-142,1
143,ND-143,1
144,ND-144,1
145,ND-145,1
146,ND-146,1
147,ND-147,1
148,ND-148,1
149,ND-149,1
150,ND-150,1
151,ND-151,1
152,ND-152,1
153,ND-153,1
154,ND-154,1
155,ND-155,1
156,ND-156,1
157,ND-157,1
158,ND-158,1
159,ND-159,1
160,ND-160,1
161,ND-161,1
162,ND-162,1
163,ND-163,1
164,ND-164,1
165,ND-165,1
166,ND-166,1
167,ND-167,1
168,ND-168,1
169,ND-169,1
170,ND-170,1
171,ND-171,1
172,ND-172,1
173,ND-173,1
174,ND-174,1
175,ND-175,1
176,ND-176,1
177,ND-177,1
178,ND-178,1
179,ND-179,1
180,ND-180,1
181,ND-181,1
182,ND-182,1
183,ND-183,1
184,ND-184,1
185,ND-185,1
186,ND-186,1
187,ND-187,1
188,ND-188,1
189,ND-189,1
190,ND-190,1
191,ND-191,1
192,ND-192,1
193,ND-193,1
194,ND-194,1
195,ND-195,1
196,ND-196,1
197,ND-197,1
198,ND-198,1
199,ND-199,1
200,ND-200,1
201,ND-201,1
202,ND-202,1
203,ND-203,1
204,ND-204,1
205,ND-205,1
206,ND-206,1
207,ND-207,1
208,ND-208,1
209,ND-209,1
210,ND-210,1
211,ND-211,1
212,ND-212,1
213,ND-213,1
214,ND-214,1
215,ND-215,1
216,ND-216,1
217,ND-217,1
218,ND-218,1
219,ND-219,1
220,ND-220,1
221,ND-221,1
222,ND-222,1
223,ND-223,1
224,ND-224,1
225,ND-225,1
226,ND-226,1
227,ND-227,1
228,ND-228,1
229,ND-229,1
230,ND-230,1
231,ND-231,1
232,ND-232,1
233,ND-233,1
234,ND-234,1
235,ND-235,1
236,ND-236,1
237,ND-237,1
238,ND-238,1
239,ND-239,1
240,ND-240,1
241,ND-241,1
